sample_Id;type;language;rightsHolder;institutionID;institutionCode;datasetID;datasetName;samplingProtocol;sampleSizeValue;sampleSizeUnit;license;waterBody;countryCode;sampling_date;sampling_date;eventDate;day;month;year;decimalLatitude;decimalLongitude;geodeticDatum
Schulensmeer_24oct08;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Schulensmeer;BE;24/10/2008;10/24/2008;;24;10;2008;50,961342;5,146583;WGS84
Schulensmeer_29may08;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Schulensmeer;BE;19/05/2008;05/19/2008;;19;5;2008;50,961342;5,146583;WGS84
Schulensmeer_19jun08;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Schulensmeer;BE;19/06/2008;06/19/2008;;19;6;2008;50,961342;5,146583;WGS84
Schulensmeer_14jul08;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Schulensmeer;BE;14/07/2008;07/14/2008;;14;7;2008;50,961342;5,146583;WGS84
Schulensmeer_27aug08;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Schulensmeer;BE;27/08/2008;08/27/2008;;27;8;2008;50,961342;5,146583;WGS84
Schulensmeer_22sep08;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Schulensmeer;BE;22/09/2008;09/22/2008;;22;9;2008;50,961342;5,146583;WGS84
Blokkersdijk_9apr08;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Blokkersdijk;BE;9/04/2008;4/09/2008;;9;4;2008;51,232794;4,347203;WGS84
Blokkersdijk_7may08;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Blokkersdijk;BE;7/05/2008;5/07/2008;;7;5;2008;51,232794;4,347203;WGS84
Blokkersdijk_27jun08;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Blokkersdijk;BE;27/06/2008;06/27/2008;;27;6;2008;51,232794;4,347203;WGS84
Blokkersdijk_16jul08;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Blokkersdijk;BE;16/07/2008;7/06/2008;;16;7;2008;51,232794;4,347203;WGS84
Blokkersdijk_25aug08;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Blokkersdijk;BE;25/08/2008;08/25/2008;;25;8;2008;51,232794;4,347203;WGS84
Blokkersdijk_29sep08;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Blokkersdijk;BE;29/09/2008;09/29/2008;;29;9;2008;51,232794;4,347203;WGS84
Vinne_25apr08;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Vinne;BE;25/04/2008;04/25/2008;;25;4;2008;50,8414;5,125887;WGS84
Vinne_29may08;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Vinne;BE;29/05/2008;05/29/2008;;29;5;2008;50,8414;5,125887;WGS84
Vinne_19jun08;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Vinne;BE;19/06/2008;06/19/2008;;19;6;2008;50,8414;5,125887;WGS84
Vinne_14jul08;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Vinne;BE;14/07/2008;07/14/2008;;14;7;2008;50,8414;5,125887;WGS84
Vinne_27aug08;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Vinne;BE;27/08/2008;08/27/2008;;27;8;2008;50,8414;5,125887;WGS84
Vinne_22sep08;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Vinne;BE;22/09/2008;09/22/2008;;22;9;2008;50,8414;5,125887;WGS84
GroteVijverMechelen_9apr08;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;GroteVijver;BE;9/04/2008;4/09/2008;;9;4;2008;51,064583;4,441574;WGS84
GroteVijverMechelen_7may08;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;GroteVijver;BE;7/05/2008;5/07/2008;;7;5;2008;51,064583;4,441574;WGS84
GroteVijverMechelen_27jun08;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;GroteVijver;BE;27/06/2008;06/27/2008;;27;6;2008;51,064583;4,441574;WGS84
GroteVijverMechelen_16jul08;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;GroteVijver;BE;16/07/2008;07/16/2008;;16;7;2008;51,064583;4,441574;WGS84
GroteVijverMechelen_25aug08;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;GroteVijver;BE;25/08/2008;08/25/2008;;25;8;2008;51,064583;4,441574;WGS84
GroteVijverMechelen_19sep08;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;GroteVijver;BE;19/09/2008;09/19/2008;;19;9;2008;51,064583;4,441574;WGS84
GaversHarelbeke_27apr11;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Gavermeer;BE;27/04/2011;04/27/2011;;27;4;2011;50,843523;3,322521;WGS84
KanaalplasDeMaat_16apr13;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;De Maat;BE;16/04/2013;04/16/2013;;16;4;2013;51,231107;5,17179;WGS84
KanaalplasDeMaat_21may13;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;De Maat;BE;21/05/2013;05/21/2013;;21;5;2013;51,231107;5,17179;WGS84
KanaalplasDeMaat_19jun13;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;De Maat;BE;19/06/2013;06/19/2013;;19;6;2013;51,231107;5,17179;WGS84
KanaalplasDeMaat_17jul13;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;De Maat;BE;17/07/2013;07/17/2013;;17;7;2013;51,231107;5,17179;WGS84
KanaalplasDeMaat_21aug13;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;De Maat;BE;21/08/2013;08/21/2013;;21;8;2013;51,231107;5,17179;WGS84
KanaalplasDeMaat_17sep13;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;De Maat;BE;17/09/2013;09/17/2013;;17;9;2013;51,231107;5,17179;WGS84
KanaalplasDeMaat_24oct13;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;De Maat;BE;24/10/2013;10/24/2013;;24;10;2013;51,231107;5,17179;WGS84
RauwseMeer_17apr13;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Rauwse Meer;BE;17/04/2013;04/17/2013;;17;4;2013;51,225278;5,200833;WGS84
RauwseMeer_21may13;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Rauwse Meer;BE;21/05/2013;05/21/2013;;21;5;2013;51,225278;5,200833;WGS84
RauwseMeer_19jun13;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Rauwse Meer;BE;19/06/2013;06/19/2013;;19;6;2013;51,225278;5,200833;WGS84
RauwseMeer_17jul13;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Rauwse Meer;BE;17/07/2013;07/17/2013;;17;7;2013;51,225278;5,200833;WGS84
RauwseMeer_21aug13;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Rauwse Meer;BE;21/08/2013;08/21/2013;;21;8;2013;51,225278;5,200833;WGS84
RauwseMeer_17sep13;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Rauwse Meer;BE;17/09/2013;09/17/2013;;17;9;2013;51,225278;5,200833;WGS84
RauwseMeer_24oct13;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Rauwse Meer;BE;24/10/2013;10/24/2013;;24;10;2013;51,225278;5,200833;WGS84
Hazewinkel_23apr14;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Hazewinkel;BE;23/04/2014;04/23/2014;;23;4;2014;51,066341;4,392004;WGS84
Hazewinkel_20may14;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Hazewinkel;BE;20/05/2014;05/20/2014;;20;5;2014;51,066341;4,392004;WGS84
Hazewinkel_17jun14;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Hazewinkel;BE;17/06/2014;06/17/2014;;17;6;2014;51,066341;4,392004;WGS84
Hazewinkel_29jul14;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Hazewinkel;BE;29/07/2014;07/29/2014;;29;7;2014;51,066341;4,392004;WGS84
Hazewinkel_26aug14;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Hazewinkel;BE;26/08/2014;08/26/2014;;26;8;2014;51,066341;4,392004;WGS84
Hazewinkel_23sep14;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Hazewinkel;BE;23/09/2014;09/23/2014;;23;9;2014;51,066341;4,392004;WGS84
Hazewinkel_7oct14;event;en;Ugent;Ugent;Ugent;;ECOPOT_2: Phytoplankton in Flemish Waterbodies;waterSampling;1;Liter;This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.;Hazewinkel;BE;7/10/2014;10/07/2014;;7;10;2014;51,066341;4,392004;WGS84
