sample_Id,type,language,rightsHolder,institutionID,institutionCode,datasetID,datasetName,samplingProtocol,sampleSizeValue,sampleSizeUnit,license,waterBody,countryCode,day,month,year,eventDate,decimalLatitude,decimalLongitude,geodeticDatum
Schulensmeer_24oct08,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Schulensmeer,BE,24,10,2008,2008-10-24,50.961342,5.146583,WGS84
Schulensmeer_29may08,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Schulensmeer,BE,19,5,2008,2008-5-19,50.961342,5.146583,WGS84
Schulensmeer_19jun08,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Schulensmeer,BE,19,6,2008,2008-6-19,50.961342,5.146583,WGS84
Schulensmeer_14jul08,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Schulensmeer,BE,14,7,2008,2008-7-14,50.961342,5.146583,WGS84
Schulensmeer_27aug08,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Schulensmeer,BE,27,8,2008,2008-8-27,50.961342,5.146583,WGS84
Schulensmeer_22sep08,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Schulensmeer,BE,22,9,2008,2008-9-22,50.961342,5.146583,WGS84
Blokkersdijk_9apr08,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Blokkersdijk,BE,9,4,2008,2008-4-9,51.232794,4.347203,WGS84
Blokkersdijk_7may08,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Blokkersdijk,BE,7,5,2008,2008-5-7,51.232794,4.347203,WGS84
Blokkersdijk_27jun08,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Blokkersdijk,BE,27,6,2008,2008-6-27,51.232794,4.347203,WGS84
Blokkersdijk_16jul08,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Blokkersdijk,BE,16,7,2008,2008-7-16,51.232794,4.347203,WGS84
Blokkersdijk_25aug08,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Blokkersdijk,BE,25,8,2008,2008-8-25,51.232794,4.347203,WGS84
Blokkersdijk_29sep08,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Blokkersdijk,BE,29,9,2008,2008-9-29,51.232794,4.347203,WGS84
Vinne_25apr08,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Vinne,BE,25,4,2008,2008-4-25,50.8414,5.125887,WGS84
Vinne_29may08,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Vinne,BE,29,5,2008,2008-5-29,50.8414,5.125887,WGS84
Vinne_19jun08,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Vinne,BE,19,6,2008,2008-6-19,50.8414,5.125887,WGS84
Vinne_14jul08,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Vinne,BE,14,7,2008,2008-7-14,50.8414,5.125887,WGS84
Vinne_27aug08,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Vinne,BE,27,8,2008,2008-8-27,50.8414,5.125887,WGS84
Vinne_22sep08,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Vinne,BE,22,9,2008,2008-9-22,50.8414,5.125887,WGS84
GroteVijverMechelen_9apr08,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,GroteVijver,BE,9,4,2008,2008-4-9,51.064583,4.441574,WGS84
GroteVijverMechelen_7may08,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,GroteVijver,BE,7,5,2008,2008-5-7,51.064583,4.441574,WGS84
GroteVijverMechelen_27jun08,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,GroteVijver,BE,27,6,2008,2008-6-27,51.064583,4.441574,WGS84
GroteVijverMechelen_16jul08,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,GroteVijver,BE,16,7,2008,2008-7-16,51.064583,4.441574,WGS84
GroteVijverMechelen_25aug08,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,GroteVijver,BE,25,8,2008,2008-8-25,51.064583,4.441574,WGS84
GroteVijverMechelen_19sep08,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,GroteVijver,BE,19,9,2008,2008-9-19,51.064583,4.441574,WGS84
GaversHarelbeke_27apr11,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Gavermeer,BE,27,4,2011,2011-4-27,50.843523,3.322521,WGS84
KanaalplasDeMaat_16apr13,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,De Maat,BE,16,4,2013,2013-4-16,51.231107,5.17179,WGS84
KanaalplasDeMaat_21may13,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,De Maat,BE,21,5,2013,2013-5-21,51.231107,5.17179,WGS84
KanaalplasDeMaat_19jun13,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,De Maat,BE,19,6,2013,2013-6-19,51.231107,5.17179,WGS84
KanaalplasDeMaat_17jul13,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,De Maat,BE,17,7,2013,2013-7-17,51.231107,5.17179,WGS84
KanaalplasDeMaat_21aug13,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,De Maat,BE,21,8,2013,2013-8-21,51.231107,5.17179,WGS84
KanaalplasDeMaat_17sep13,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,De Maat,BE,17,9,2013,2013-9-17,51.231107,5.17179,WGS84
KanaalplasDeMaat_24oct13,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,De Maat,BE,24,10,2013,2013-10-24,51.231107,5.17179,WGS84
RauwseMeer_17apr13,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Rauwse Meer,BE,17,4,2013,2013-4-17,51.225278,5.200833,WGS84
RauwseMeer_21may13,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Rauwse Meer,BE,21,5,2013,2013-5-21,51.225278,5.200833,WGS84
RauwseMeer_19jun13,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Rauwse Meer,BE,19,6,2013,2013-6-19,51.225278,5.200833,WGS84
RauwseMeer_17jul13,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Rauwse Meer,BE,17,7,2013,2013-7-17,51.225278,5.200833,WGS84
RauwseMeer_21aug13,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Rauwse Meer,BE,21,8,2013,2013-8-21,51.225278,5.200833,WGS84
RauwseMeer_17sep13,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Rauwse Meer,BE,17,9,2013,2013-9-17,51.225278,5.200833,WGS84
RauwseMeer_24oct13,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Rauwse Meer,BE,24,10,2013,2013-10-24,51.225278,5.200833,WGS84
Hazewinkel_23apr14,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Hazewinkel,BE,23,4,2014,2014-4-23,51.066341,4.392004,WGS84
Hazewinkel_20may14,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Hazewinkel,BE,20,5,2014,2014-5-20,51.066341,4.392004,WGS84
Hazewinkel_17jun14,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Hazewinkel,BE,17,6,2014,2014-6-17,51.066341,4.392004,WGS84
Hazewinkel_29jul14,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Hazewinkel,BE,29,7,2014,2014-7-29,51.066341,4.392004,WGS84
Hazewinkel_26aug14,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Hazewinkel,BE,26,8,2014,2014-8-26,51.066341,4.392004,WGS84
Hazewinkel_23sep14,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Hazewinkel,BE,23,9,2014,2014-9-23,51.066341,4.392004,WGS84
Hazewinkel_7oct14,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Hazewinkel,BE,7,10,2014,2014-10-7,51.066341,4.392004,WGS84
